airport,latitude,longitude
PPG,-14.3310003281,-170.710006714
ROP,14.17430019378662,145.2429962158203
SPN,15.119,145.729004
UAM,13.584,144.929998
GUM,13.4834003448,144.796005249
TIQ,14.999199867248535,145.61900329589844
STT,18.337299346923828,-64.97339630126953
STX,17.701900482177734,-64.79859924316406
BQN,18.49489974975586,-67.12940216064453
FAJ,18.308900833129883,-65.66190338134766
SIG,18.45680046081543,-66.09809875488281
MAZ,18.255699157714844,-67.14849853515625
PSE,18.00830078125,-66.56300354003906
SJU,18.4393997192,-66.0018005371
BTI,70.1340026855,-143.582000732
LUR,68.87509918,-166.1100006
PIZ,69.73290253,-163.0050049
ITO,19.721399307250977,-155.04800415039062
ORL,28.5455,-81.332901
BTT,66.91390228,-151.529007
UTO,65.99279785,-153.7039948
FYU,66.57150268554688,-145.25
SVW,61.09740067,-155.5740051
FRN,61.26639938,-149.6529999
TLJ,62.8944015503,-155.977005005
CZF,61.78030014,-166.0390015
BED,42.47000122,-71.28900146
SNP,57.16730117797852,-170.22000122070312
EHM,58.6464004517,-162.06300354
STG,56.5783004761,-169.662002563
ILI,59.75439835,-154.9109955
PTU,59.01139831542969,-161.82000732421875
BMX,59.3611984253,-155.259002686
OSC,44.451599,-83.394096
OAR,36.68190002,-121.762001
MHR,38.55390167,-121.2979965
BYS,35.2804985046,-116.629997253
FSM,35.33660125732422,-94.36740112304688
MRI,61.2135009765625,-149.843994140625
GNT,35.167301178,-107.902000427
PNC,36.73199844,-97.09980011
SVN,32.00999832,-81.14569855
GFK,47.949299,-97.176102
PBF,34.1731,-91.9356
NSE,30.7241993,-87.02189636
HNM,20.79560089111328,-156.01400756835938
PRC,34.65449905,-112.4199982
TTN,40.27669906616211,-74.8134994506836
BOS,42.36429977,-71.00520325
SUU,38.262699127197,-121.92700195312
RME,43.23379898,-75.40699768
ENV,40.7187004089,-114.03099823
BFM,30.626800537100003,-88.06809997559999
OAK,37.721298,-122.221001
OMA,41.3032,-95.894096
OGG,20.8986,-156.429993
ICT,37.649899,-97.433098
MCI,39.2976,-94.713898
MSN,43.13990020751953,-89.3375015258789
DLG,59.04470062,-158.5050049
HRO,36.26150131225586,-93.15470123291016
PHX,33.43429946899414,-112.01200103759766
BGR,44.80739974975586,-68.8281021118164
FXE,26.1972999573,-80.1707000732
GGG,32.38399887084961,-94.71150207519533
AND,34.4945983887,-82.70939636230001
GEG,47.61989974975586,-117.53399658203124
HWO,26.0012,-80.2407
SFO,37.61899948120117,-122.375
CTB,48.6083984375,-112.375999451
ARA,30.0378,-91.883904
GNV,29.6900997162,-82.2717971802
MEM,35.04240036010742,-89.97669982910156
DUG,31.4689998627,-109.603996277
BIG,63.9944992065,-145.722000122
CNW,31.6378002167,-97.0740966797
ANN,55.04240036010742,-131.57200622558594
CAR,46.8714981079,-68.0178985596
LRF,34.916900634799994,-92.14969635010002
HUA,34.67869949,-86.68479919
POB,35.1708984375,-79.014503479004
DHT,36.0225982666,-102.54699707
DLF,29.359501,-100.778002
LAX,33.94250107,-118.4079971
ANB,33.5882,-85.8581
CLE,41.4117012024,-81.8498001099
DOV,39.12950134,-75.46600342
CVG,39.0488014221,-84.6678009033
FME,39.08539962769999,-76.7593994141
HON,44.38520050048828,-98.22850036621094
JNU,58.35499954223633,-134.5760040283203
LFT,30.20529938,-91.98760223
EWR,40.692501068115234,-74.168701171875
BOI,43.5644,-116.223
INS,36.5872001648,-115.672996521
GCK,37.9275016785,-100.723999023
MOT,48.2593994140625,-101.27999877929688
HHI,21.48349953,-158.0399933
MXF,32.3829,-86.365799
DAL,32.847099,-96.851799
FCS,38.67839813,-104.7570038
HLN,46.6068000793457,-111.98300170898438
NKX,32.86840057,-117.1429977
LUF,33.534999847399995,-112.383003235
HHR,33.922798,-118.334999
HUL,46.1231002808,-67.792098999
END,36.3391990662,-97.9164962769
NTD,34.120300293,-119.121002197
EDW,34.905399,-117.884003
LCH,30.126100540161133,-93.22329711914062
KOA,19.738783,-156.045603
MYR,33.6796989441,-78.9282989502
NLC,36.33300018,-119.9520035
ACK,41.25310135,-70.06020355
FAF,37.1324996948,-76.60880279540001
HOP,36.668598175,-87.49620056150002
DCA,38.8521,-77.037697
NHK,38.285999,-76.411797
PSX,28.727500915527,-96.250999450684
BYH,35.9642982483,-89.94400024410001
ACY,39.45759963989258,-74.57720184326172
TIK,35.414699554443,-97.386596679688
ECG,36.26060104,-76.17459869
PUB,38.289100646972656,-104.49700164794922
PQI,46.68899918,-68.0447998
GRF,47.07920074,-122.5810013
ADQ,57.75,-152.4940033
UPP,20.265300750732425,-155.86000061035156
FLL,26.072599,-80.152702
INL,48.566200256347656,-93.4030990600586
SLC,40.78839874267578,-111.97799682617188
CDS,34.4337997437,-100.288002014
BIX,30.4104003906,-88.92440032959999
LSF,32.337299346900004,-84.9913024902
NQI,27.5072002411,-97.8097000122
FRI,39.05530167,-96.76450348
MDT,40.1935005188,-76.7633972168
LNK,40.85100173950195,-96.75920104980467
LAN,42.77870178222656,-84.58740234375
MUE,20.001300811767575,-155.66799926757812
MSS,44.93579864501953,-74.84559631347656
HKY,35.74110031,-81.38950348
SPG,27.7651,-82.626999
FMY,26.58659935,-81.86329650879999
IAH,29.984399795532227,-95.34140014648438
ADW,38.810799,-76.866997
INT,36.13370132446289,-80.22200012207031
VCV,34.597499847399995,-117.383003235
CEW,30.778799057,-86.522102356
PHN,42.9109993,-82.52890015
BFL,35.43360138,-119.0569992
ELP,31.80719948,-106.3779984
HRL,26.228500366210938,-97.65440368652344
CAE,33.93880081176758,-81.11949920654297
DMA,32.1665000916,-110.883003235
NPA,30.35269928,-87.31860352
PNS,30.473400115967,-87.186599731445
RDR,47.961101532,-97.4011993408
HOU,29.64539909,-95.27890015
BFK,39.7016983032,-104.751998901
ORT,62.9612999,-141.9290009
PAQ,61.594898,-149.08901
PIT,40.49150085,-80.23290253
BRW,71.285402,-156.766008
EFD,29.6072998047,-95.1587982178
NUW,48.351799,-122.655998
ALI,27.7409000397,-98.02690124510002
VAD,30.9678001404,-83.1930007935
MIA,25.79319953918457,-80.29060363769531
SEA,47.449001,-122.308998
CHA,35.035301208496094,-85.20379638671875
BDR,41.16350173950195,-73.1261978149414
JAN,32.3111991882,-90.0758972168
GLS,29.265300750732425,-94.8603973388672
LGB,33.81769943,-118.1520004
HDH,21.5795001984,-158.197006226
IPT,41.241798400878906,-76.92109680175781
IND,39.7173,-86.294403
SZL,38.73030090332,-93.547897338867
AKC,41.0374984741,-81.4669036865
GWO,33.4943008423,-90.0847015381
HPN,41.06700134277344,-73.70760345458984
FOK,40.8437004089,-72.6317977905
JBR,35.83169937133789,-90.64640045166016
XSD,37.7988014221,-116.78099823
LNA,26.59300041,-80.08509827
NZY,32.69919968,-117.2149963
BIF,31.84950066,-106.3799973
YUM,32.65660095,-114.6060028
CNM,32.337501525878906,-104.26300048828124
DLH,46.8420982361,-92.1936035156
BET,60.77980042,-161.8379974
LOU,38.2280006409,-85.6636962891
FHU,31.588499069213867,-110.34400177001952
LIH,21.97599983215332,-159.33900451660156
HUF,39.4515,-87.307602
HVR,48.54299927,-109.762001
MWH,47.20769882,-119.3199997
MPV,44.20349884,-72.56230164
RIC,37.50519943237305,-77.3197021484375
SHV,32.446602,-93.8256
CDV,60.4917984,-145.4779968
